Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC
1/1/1948,18,15,14
1/2/1948,10,7,6
1/3/1948,11,6,4
1/4/1948,11,6,4
1/5/1948,10,3,0
1/6/1948,16,12,10
1/7/1948,17,11,8
1/8/1948,13,7,4
1/9/1948,13,5,2
1/10/1948,10,6,4
1/11/1948,8,4,2
1/12/1948,6,-1,-4
1/13/1948,10,2,-2
1/14/1948,3,-3,-6
1/15/1948,2,1,0
1/16/1948,0,-3,-4
1/17/1948,1,-1,-2
1/18/1948,1,-1,-2
1/19/1948,0,-3,-4
1/20/1948,3,0,-2
1/21/1948,12,5,2
1/22/1948,15,12,10
1/23/1948,15,14,14
1/24/1948,10,6,4
1/25/1948,12,4,0
1/26/1948,11,5,2
1/27/1948,17,7,2
1/28/1948,16,1,-6
1/29/1948,9,5,4
1/30/1948,11,2,-2
1/31/1948,0,-3,-4
2/1/1948,6,2,0
2/2/1948,8,0,-4
2/3/1948,3,-2,-4
2/4/1948,6,2,0
2/5/1948,2,-2,-4
2/6/1948,6,-6,-12
2/7/1948,8,0,-4
2/8/1948,10,7,6
2/9/1948,9,4,2
2/10/1948,3,-2,-4
2/11/1948,8,-3,-8
2/12/1948,8,0,-4
2/13/1948,14,9,6
2/14/1948,13,11,10
2/15/1948,10,7,6
2/16/1948,18,10,6
2/17/1948,23,18,16
2/18/1948,12,5,2
2/19/1948,9,3,0
2/20/1948,11,6,4
2/21/1948,16,11,8
2/22/1948,14,10,8
2/23/1948,14,9,6
2/24/1948,11,7,6
2/25/1948,15,13,12
2/26/1948,16,11,8
2/27/1948,14,9,6
2/28/1948,14,6,2
2/29/1948,11,6,4
3/1/1948,11,5,2
3/2/1948,13,4,0
3/3/1948,15,3,-2
3/4/1948,21,8,2
3/5/1948,15,13,12
3/6/1948,15,13,12
3/7/1948,9,5,4
3/8/1948,9,4,2
3/9/1948,12,6,4
3/10/1948,15,5,0
3/11/1948,15,5,0
3/12/1948,24,16,12
3/13/1948,17,10,6
3/14/1948,18,9,4
3/15/1948,18,10,6
3/16/1948,16,8,4
3/17/1948,17,10,6
3/18/1948,14,9,6
3/19/1948,11,6,4
3/20/1948,11,6,4
3/21/1948,14,10,8
3/22/1948,9,3,0
3/23/1948,18,6,0
3/24/1948,19,10,6
3/25/1948,17,10,6
3/26/1948,21,11,6
3/27/1948,30,15,8
3/28/1948,30,18,12
3/29/1948,16,11,8
3/30/1948,28,15,8
3/31/1948,20,13,10
4/1/1948,14,10,8
4/2/1948,11,6,4
4/3/1948,11,5,2
4/4/1948,13,5,2
4/5/1948,17,7,2
4/6/1948,10,6,4
4/7/1948,20,7,0
4/8/1948,23,9,2
4/9/1948,18,13,10
4/10/1948,20,12,8
4/11/1948,17,11,8
4/12/1948,16,11,8
4/13/1948,24,13,8
4/14/1948,28,17,12
4/15/1948,32,24,20
4/16/1948,29,19,14
4/17/1948,22,18,16
4/18/1948,25,17,12
4/19/1948,26,14,8
4/20/1948,29,15,8
4/21/1948,23,18,16
4/22/1948,23,17,14
4/23/1948,21,16,14
4/24/1948,15,13,12
4/25/1948,14,9,6
4/26/1948,14,6,2
4/27/1948,17,7,2
4/28/1948,14,13,12
4/29/1948,19,9,4
4/30/1948,21,10,4
5/1/1948,23,13,8
5/2/1948,22,11,6
5/3/1948,21,16,14
5/4/1948,23,17,14
5/5/1948,23,18,16
5/6/1948,25,18,14
5/7/1948,26,17,12
5/8/1948,21,16,14
5/9/1948,20,15,12
5/10/1948,23,17,14
5/11/1948,29,20,16
5/12/1948,21,16,14
5/13/1948,22,17,14
5/14/1948,24,17,14
5/15/1948,30,19,14
5/16/1948,24,21,20
5/17/1948,29,19,14
5/18/1948,28,20,16
5/19/1948,27,17,12
5/20/1948,36,21,14
5/21/1948,30,22,18
5/22/1948,32,24,20
5/23/1948,32,25,22
5/24/1948,46,30,22
5/25/1948,40,28,22
5/26/1948,37,26,20
5/27/1948,29,24,22
5/28/1948,23,21,20
5/29/1948,26,22,20
5/30/1948,35,22,16
5/31/1948,42,26,18
6/1/1948,38,25,18
6/2/1948,41,28,22
6/3/1948,35,29,26
6/4/1948,37,26,20
6/5/1948,41,26,18
6/6/1948,47,33,26
6/7/1948,53,39,32
6/8/1948,51,38,32
6/9/1948,47,35,28
6/10/1948,43,33,28
6/11/1948,30,26,24
6/12/1948,33,25,22
6/13/1948,35,28,24
6/14/1948,39,28,22
6/15/1948,37,27,22
6/16/1948,30,26,24
6/17/1948,32,26,24
6/18/1948,38,27,22
6/19/1948,36,28,24
6/20/1948,30,26,24
6/21/1948,31,25,22
6/22/1948,30,24,22
6/23/1948,36,24,18
6/24/1948,32,25,22
6/25/1948,32,25,22
6/26/1948,39,28,22
6/27/1948,45,31,24
6/28/1948,49,35,28
6/29/1948,49,35,28
6/30/1948,41,31,26
7/1/1948,35,22,16
7/2/1948,35,21,14
7/3/1948,41,27,20
7/4/1948,33,25,22
7/5/1948,34,26,22
7/6/1948,37,27,22
7/7/1948,32,25,22
7/8/1948,38,26,20
7/9/1948,43,29,22
7/10/1948,40,32,28
7/11/1948,39,30,26
7/12/1948,39,28,22
7/13/1948,42,29,22
7/14/1948,43,30,24
7/15/1948,48,32,24
7/16/1948,47,34,28
7/17/1948,48,35,28
7/18/1948,30,27,26
7/19/1948,34,29,26
7/20/1948,35,29,26
7/21/1948,41,32,28
7/22/1948,39,29,24
7/23/1948,39,30,26
7/24/1948,38,26,20
7/25/1948,44,28,20
7/26/1948,45,31,24
7/27/1948,32,26,24
7/28/1948,38,29,24
7/29/1948,39,28,22
7/30/1948,48,36,30
7/31/1948,52,37,30
8/1/1948,42,31,26
8/2/1948,35,29,26
8/3/1948,37,31,28
8/4/1948,32,25,22
8/5/1948,31,25,22
8/6/1948,37,27,22
8/7/1948,37,27,22
8/8/1948,41,30,24
8/9/1948,40,32,28
8/10/1948,37,30,26
8/11/1948,31,26,24
8/12/1948,41,32,28
8/13/1948,34,29,26
8/14/1948,33,25,22
8/15/1948,36,28,24
8/16/1948,38,30,26
8/17/1948,41,32,28
8/18/1948,41,31,26
8/19/1948,35,29,26
8/20/1948,33,27,24
8/21/1948,34,29,26
8/22/1948,38,30,26
8/23/1948,36,27,22
8/24/1948,31,27,26
8/25/1948,40,32,28
8/26/1948,38,29,24
8/27/1948,30,27,26
8/28/1948,47,33,26
8/29/1948,41,32,28
8/30/1948,38,30,26
8/31/1948,39,28,22
9/1/1948,40,28,22
9/2/1948,37,28,24
9/3/1948,35,28,24
9/4/1948,36,27,22
9/5/1948,35,22,16
9/6/1948,36,24,18
9/7/1948,40,28,22
9/8/1948,46,34,28
9/9/1948,48,36,30
9/10/1948,47,34,28
9/11/1948,42,31,26
9/12/1948,40,29,24
9/13/1948,41,30,24
9/14/1948,34,26,22
9/15/1948,31,26,24
9/16/1948,29,20,16
9/17/1948,32,21,16
9/18/1948,36,21,14
9/19/1948,35,23,18
9/20/1948,34,26,22
9/21/1948,29,23,20
9/22/1948,20,16,14
9/23/1948,21,15,12
9/24/1948,23,13,8
9/25/1948,24,12,6
9/26/1948,19,16,14
9/27/1948,33,20,14
9/28/1948,24,16,12
9/29/1948,23,13,8
9/30/1948,28,17,12
10/1/1948,39,21,12
10/2/1948,34,23,18
10/3/1948,32,25,22
10/4/1948,26,19,16
10/5/1948,21,15,12
10/6/1948,26,19,16
10/7/1948,30,22,18
10/8/1948,28,16,10
10/9/1948,32,16,8
10/10/1948,24,21,20
10/11/1948,23,17,14
10/12/1948,22,15,12
10/13/1948,20,12,8
10/14/1948,24,17,14
10/15/1948,21,12,8
10/16/1948,27,17,12
10/17/1948,29,15,8
10/18/1948,31,18,12
10/19/1948,28,17,12
10/20/1948,28,16,10
10/21/1948,23,17,14
10/22/1948,28,20,16
10/23/1948,25,17,14
10/24/1948,27,18,14
10/25/1948,21,15,12
10/26/1948,21,13,8
10/27/1948,18,7,2
10/28/1948,11,6,4
10/29/1948,19,12,8
10/30/1948,15,14,14
10/31/1948,15,13,12
11/1/1948,14,9,6
11/2/1948,16,13,12
11/3/1948,18,10,6
11/4/1948,15,8,4
11/5/1948,17,11,8
11/6/1948,16,8,4
11/7/1948,13,7,4
11/8/1948,11,1,-4
11/9/1948,9,0,-4
11/10/1948,11,2,-2
11/11/1948,7,2,0
11/12/1948,12,8,6
11/13/1948,15,13,12
11/14/1948,18,14,12
11/15/1948,14,10,8
11/16/1948,14,9,6
11/17/1948,10,7,6
11/18/1948,11,6,4
11/19/1948,14,10,8
11/20/1948,17,13,10
11/21/1948,14,10,8
11/22/1948,20,14,10
11/23/1948,18,14,12
11/24/1948,17,14,12
11/25/1948,11,5,2
11/26/1948,10,4,2
11/27/1948,13,7,4
11/28/1948,14,9,6
11/29/1948,12,8,6
11/30/1948,13,10,8
12/1/1948,14,10,8
12/2/1948,10,6,4
12/3/1948,8,4,2
12/4/1948,5,0,-2
12/5/1948,8,4,2
12/6/1948,8,5,4
12/7/1948,7,5,4
12/8/1948,4,1,0
12/9/1948,11,5,2
12/10/1948,14,10,8
12/11/1948,10,8,8
12/12/1948,10,6,4
12/13/1948,5,3,2
12/14/1948,5,3,2
12/15/1948,4,0,-2
12/16/1948,9,2,-2
12/17/1948,1,-5,-8
12/18/1948,2,-5,-8
12/19/1948,11,7,6
12/20/1948,11,5,2
12/21/1948,4,1,0
12/22/1948,4,0,-2
12/23/1948,1,-8,-12
12/24/1948,-1,-11,-16
12/25/1948,5,-1,-4
12/26/1948,8,-4,-10
12/27/1948,-1,-8,-12
12/28/1948,10,3,0
12/29/1948,9,5,4
12/30/1948,11,6,4
